Time	GateI	GateV	DrainI	Vref
2.5107861E-03	-9.0885200E-13	0.0000000E+00	-9.5029800E-10	-4.5446740E-02
3.0116453E+00	7.8511200E-13	0.0000000E+00	-9.2966900E-10	-4.1263640E-02
6.0246830E+00	1.0542900E-12	0.0000000E+00	-9.2965200E-10	-3.9794770E-02
9.0434515E+00	-1.4935700E-12	0.0000000E+00	-9.0900200E-10	-3.8840620E-02
1.2063348E+01	1.5443600E-12	0.0000000E+00	-6.3965700E-10	-3.8157080E-02
1.5163698E+01	2.0384800E-13	0.0000000E+00	-6.2034000E-10	-3.7597410E-02
1.8177241E+01	-1.9502600E-13	0.0000000E+00	-6.4097600E-10	-3.7175150E-02
2.1206993E+01	2.0782900E-12	0.0000000E+00	-6.4098000E-10	-3.6798390E-02
2.4220902E+01	2.4794300E-12	0.0000000E+00	-6.2034800E-10	-3.6482900E-02
2.7231959E+01	-1.3021200E-12	0.0000000E+00	-6.4100600E-10	-3.6204020E-02
3.0299660E+01	-4.5443800E-12	-5.0000000E-02	-6.4598900E-10	-3.5973940E-02
3.3353282E+01	-1.8121000E-12	-5.0000000E-02	-9.0906500E-10	-3.5760330E-02
3.6366136E+01	-7.2908400E-12	-5.0000000E-02	-9.0905700E-10	-3.5564720E-02
3.9387243E+01	-1.0973200E-12	-5.0000000E-02	-9.2968200E-10	-3.5398710E-02
4.2404612E+01	-2.2133600E-12	-5.0000000E-02	-9.2964300E-10	-3.5224800E-02
4.5471949E+01	-4.3631800E-12	-5.0000000E-02	-9.0901600E-10	-3.5071820E-02
4.8482461E+01	-2.0691200E-12	-5.0000000E-02	-9.2964500E-10	-3.4946990E-02
5.1543658E+01	-2.2691500E-12	-5.0000000E-02	-9.0901300E-10	-3.4809490E-02
5.4553383E+01	-4.6644200E-12	-5.0000000E-02	-9.0900400E-10	-3.4698730E-02
5.7581731E+01	-8.5353800E-14	-5.0000000E-02	-8.8837400E-10	-3.4580830E-02
6.0630126E+01	-8.3406000E-12	-1.0000000E-01	-8.8836400E-10	-3.4509050E-02
6.3661300E+01	-6.1432100E-12	-1.0000000E-01	-8.8833500E-10	-3.4405370E-02
6.6670490E+01	-4.3499500E-12	-1.0000000E-01	-6.4302900E-10	-3.4312880E-02
