Time	GateI	GateV	DrainI	Vref
0.0000000E+00	-5.5866730E-08	0.0000000E+00	5.8656360E-09	-2.7074680E-01
2.0004363E+00	-4.3438830E-08	0.0000000E+00	1.3699440E-09	-2.6317290E-01
4.0006363E+00	-3.6328750E-08	0.0000000E+00	-8.8947010E-10	-2.5930810E-01
6.0005956E+00	-3.2798820E-08	0.0000000E+00	-1.8110750E-09	-2.5692500E-01
8.0008183E+00	-3.0497060E-08	0.0000000E+00	-2.3683980E-09	-2.5530840E-01
1.0000959E+01	-2.8959610E-08	0.0000000E+00	-2.7190290E-09	-2.5412520E-01
1.2000625E+01	-2.7873850E-08	0.0000000E+00	-2.9288740E-09	-2.5322080E-01
1.4000543E+01	-2.7004470E-08	0.0000000E+00	-3.0380420E-09	-2.5250310E-01
1.6000535E+01	-2.6399700E-08	0.0000000E+00	-3.0933690E-09	-2.5191660E-01
1.8000423E+01	-2.5819610E-08	0.0000000E+00	-3.1125180E-09	-2.5142490E-01
2.0000914E+01	-2.5375300E-08	0.0000000E+00	-3.1385860E-09	-2.5101730E-01
2.2000556E+01	-2.5024320E-08	0.0000000E+00	-3.1426770E-09	-2.5066390E-01
2.4000586E+01	-2.4670410E-08	0.0000000E+00	-3.1377410E-09	-2.5035360E-01
2.6000876E+01	-2.4411090E-08	0.0000000E+00	-3.1069770E-09	-2.5008020E-01
2.8000979E+01	-2.4184530E-08	0.0000000E+00	-3.0736430E-09	-2.4983250E-01
3.0000892E+01	-8.4692150E-08	-5.0000000E-02	3.9499830E-08	-2.6170230E-01
3.2000426E+01	-6.7522170E-08	-5.0000000E-02	1.9424550E-08	-2.7981420E-01
3.4000602E+01	-5.7893670E-08	-5.0000000E-02	1.2907100E-08	-2.7587760E-01
3.6000578E+01	-5.3217380E-08	-5.0000000E-02	1.0519210E-08	-2.7430820E-01
3.8000654E+01	-4.9900880E-08	-5.0000000E-02	8.9020310E-09	-2.7355490E-01
4.0000943E+01	-4.8350130E-08	-5.0000000E-02	8.1295330E-09	-2.7317110E-01
4.2001106E+01	-4.7399610E-08	-5.0000000E-02	7.6713860E-09	-2.7298230E-01
4.4000467E+01	-4.6481090E-08	-5.0000000E-02	7.2709080E-09	-2.7291310E-01
4.6000990E+01	-4.5395020E-08	-5.0000000E-02	6.7823070E-09	-2.7291490E-01
4.8000530E+01	-4.4839180E-08	-5.0000000E-02	6.5095680E-09	-2.7296020E-01
5.0000780E+01	-4.4253210E-08	-5.0000000E-02	6.2374390E-09	-2.7303400E-01
5.2000470E+01	-4.3616980E-08	-5.0000000E-02	5.9813030E-09	-2.7312550E-01
5.4000833E+01	-4.3105660E-08	-5.0000000E-02	5.7484580E-09	-2.7323120E-01
5.6000743E+01	-4.2574080E-08	-5.0000000E-02	5.5476490E-09	-2.7334620E-01
5.8000743E+01	-4.2173950E-08	-5.0000000E-02	5.3465990E-09	-2.7346880E-01
6.0000811E+01	-1.4243450E-07	-1.0000000E-01	3.8726750E-08	-2.8004780E-01
6.2000740E+01	-1.0417040E-07	-1.0000000E-01	3.5542350E-08	-3.0294850E-01
6.4000791E+01	-8.7701540E-08	-1.0000000E-01	2.7038920E-08	-2.9936680E-01
6.6000208E+01	-8.3161370E-08	-1.0000000E-01	2.4192500E-08	-2.9849830E-01
6.8000803E+01	-8.0124320E-08	-1.0000000E-01	2.2601370E-08	-2.9834230E-01
7.0000490E+01	-7.8039970E-08	-1.0000000E-01	2.1496520E-08	-2.9844900E-01
7.2000599E+01	-7.6318230E-08	-1.0000000E-01	2.0588640E-08	-2.9866420E-01
7.4001018E+01	-7.4824910E-08	-1.0000000E-01	1.9808360E-08	-2.9893270E-01
7.6000660E+01	-7.3649700E-08	-1.0000000E-01	1.9190130E-08	-2.9922980E-01
7.8000930E+01	-7.2560940E-08	-1.0000000E-01	1.8609610E-08	-2.9953330E-01
8.0000668E+01	-7.1570600E-08	-1.0000000E-01	1.8061260E-08	-2.9984310E-01
8.2001017E+01	-7.0611190E-08	-1.0000000E-01	1.7558620E-08	-3.0015010E-01
8.4000784E+01	-6.9778110E-08	-1.0000000E-01	1.7101880E-08	-3.0045490E-01
