Time	GateI	GateV	DrainI	Vref
1.1400057E+02	-3.0952300E-08	-1.5000000E-01	5.4006500E-08	-3.5277740E-01
1.1600070E+02	-3.0343400E-08	-1.5000000E-01	5.3038200E-08	-3.5301390E-01
1.1800075E+02	-2.9373200E-08	-1.5000000E-01	5.1947400E-08	-3.5325300E-01
1.2000040E+02	-3.4445500E-07	-2.0000000E-01	3.2921000E-07	-3.7791100E-01
1.2200023E+02	-2.0369000E-07	-2.0000000E-01	1.6731000E-07	-3.6896710E-01
1.2400259E+02	-1.8676000E-07	-2.0000000E-01	1.5002500E-07	-3.6826260E-01
1.2600077E+02	-1.7913200E-07	-2.0000000E-01	1.4238100E-07	-3.6855000E-01
1.2800081E+02	-1.7380100E-07	-2.0000000E-01	1.3689700E-07	-3.6900310E-01
1.3000093E+02	-1.7005100E-07	-2.0000000E-01	1.3275900E-07	-3.6948170E-01
1.3200051E+02	-1.6645400E-07	-2.0000000E-01	1.2905200E-07	-3.6995710E-01
1.3400053E+02	-1.6311000E-07	-2.0000000E-01	1.2551900E-07	-3.7042430E-01
1.3600046E+02	-1.6039800E-07	-2.0000000E-01	1.2270100E-07	-3.7088310E-01
1.3800107E+02	-1.5718400E-07	-2.0000000E-01	1.1983000E-07	-3.7132770E-01
1.4000102E+02	-1.5471600E-07	-2.0000000E-01	1.1719200E-07	-3.7176550E-01
1.4200063E+02	-1.5239900E-07	-2.0000000E-01	1.1506500E-07	-3.7219370E-01
1.4400054E+02	-1.4977800E-07	-2.0000000E-01	1.1271800E-07	-3.7261020E-01
1.4600060E+02	-1.4750700E-07	-2.0000000E-01	1.1044200E-07	-3.7302490E-01
1.4800074E+02	-1.4571200E-07	-2.0000000E-01	1.0847400E-07	-3.7342650E-01
1.5000072E+02	-4.8937100E-07	-2.5000000E-01	4.6567800E-07	-3.9367730E-01
1.5200047E+02	-3.0729400E-07	-2.5000000E-01	2.6888800E-07	-3.8844420E-01
1.5400043E+02	-2.9012300E-07	-2.5000000E-01	2.5086600E-07	-3.8882140E-01
1.5600025E+02	-2.8006200E-07	-2.5000000E-01	2.4070200E-07	-3.8965820E-01
1.5800051E+02	-2.7204100E-07	-2.5000000E-01	2.3257400E-07	-3.9052210E-01
1.6000093E+02	-2.6468500E-07	-2.5000000E-01	2.2505600E-07	-3.9136740E-01
1.6200093E+02	-2.5829900E-07	-2.5000000E-01	2.1922300E-07	-3.9218630E-01
1.6400005E+02	-2.5217300E-07	-2.5000000E-01	2.1298800E-07	-3.9298500E-01
1.6600072E+02	-2.4671700E-07	-2.5000000E-01	2.0734400E-07	-3.9376610E-01
1.6800070E+02	-2.4154600E-07	-2.5000000E-01	2.0251900E-07	-3.9451780E-01
1.7000052E+02	-2.3711100E-07	-2.5000000E-01	1.9723000E-07	-3.9526510E-01
1.7200111E+02	-2.3252800E-07	-2.5000000E-01	1.9293700E-07	-3.9600220E-01
1.7400101E+02	-2.2810500E-07	-2.5000000E-01	1.8839800E-07	-3.9672050E-01
1.7600072E+02	-2.2451300E-07	-2.5000000E-01	1.8419300E-07	-3.9743400E-01
1.7800082E+02	-2.2054100E-07	-2.5000000E-01	1.8029500E-07	-3.9812440E-01
1.8000064E+02	-6.2542000E-07	-3.0000000E-01	6.0133500E-07	-4.1433410E-01
1.8200066E+02	-4.3607000E-07	-3.0000000E-01	3.9455500E-07	-4.1262130E-01
1.8400060E+02	-4.1203700E-07	-3.0000000E-01	3.7133400E-07	-4.1411850E-01
1.8600022E+02	-3.9583100E-07	-3.0000000E-01	3.5466800E-07	-4.1564490E-01
1.8800025E+02	-3.8237400E-07	-3.0000000E-01	3.4145400E-07	-4.1708520E-01
1.9000067E+02	-3.7092700E-07	-3.0000000E-01	3.2964600E-07	-4.1844410E-01
1.9200070E+02	-3.6129300E-07	-3.0000000E-01	3.1847000E-07	-4.1972410E-01
1.9400015E+02	-3.5097200E-07	-3.0000000E-01	3.0884300E-07	-4.2094680E-01
1.9600076E+02	-3.4211300E-07	-3.0000000E-01	2.9973400E-07	-4.2211800E-01
1.9800083E+02	-3.3419600E-07	-3.0000000E-01	2.9085500E-07	-4.2325540E-01
2.0000062E+02	-3.2534300E-07	-3.0000000E-01	2.8276800E-07	-4.2435160E-01
2.0200051E+02	-3.1778900E-07	-3.0000000E-01	2.7575500E-07	-4.2541660E-01
2.0400022E+02	-3.1067700E-07	-3.0000000E-01	2.6795600E-07	-4.2645040E-01
2.0600064E+02	-3.0410700E-07	-3.0000000E-01	2.6102000E-07	-4.2745840E-01
2.0800083E+02	-2.9752800E-07	-3.0000000E-01	2.5438500E-07	-4.2844100E-01
2.1000094E+02	-7.5092000E-07	-3.5000000E-01	7.2621600E-07	-4.4070880E-01
2.1200083E+02	-5.6290000E-07	-3.5000000E-01	5.1953300E-07	-4.4272760E-01
2.1400062E+02	-5.3132200E-07	-3.5000000E-01	4.8717400E-07	-4.4512060E-01
2.1600052E+02	-5.0801700E-07	-3.5000000E-01	4.6348200E-07	-4.4727930E-01
2.1800057E+02	-4.8864600E-07	-3.5000000E-01	4.4355400E-07	-4.4924780E-01
2.2000078E+02	-4.7114300E-07	-3.5000000E-01	4.2629000E-07	-4.5107460E-01
2.2200061E+02	-4.5480200E-07	-3.5000000E-01	4.0971800E-07	-4.5280570E-01
2.2400060E+02	-4.4079300E-07	-3.5000000E-01	3.9555900E-07	-4.5445480E-01
2.2600089E+02	-4.2763300E-07	-3.5000000E-01	3.8196900E-07	-4.5603370E-01
2.2800062E+02	-4.1476000E-07	-3.5000000E-01	3.6896000E-07	-4.5756220E-01
2.3000080E+02	-4.0297200E-07	-3.5000000E-01	3.5714300E-07	-4.5903880E-01
2.3200062E+02	-3.9171900E-07	-3.5000000E-01	3.4533300E-07	-4.6046870E-01
2.3400014E+02	-3.8010600E-07	-3.5000000E-01	3.3391500E-07	-4.6185020E-01
2.3600057E+02	-3.7045000E-07	-3.5000000E-01	3.2374100E-07	-4.6320140E-01
2.3800039E+02	-3.6060000E-07	-3.5000000E-01	3.1508200E-07	-4.6451040E-01
2.4000057E+02	-8.5473500E-07	-4.0000000E-01	8.2637700E-07	-4.7390760E-01
2.4200061E+02	-6.6154500E-07	-4.0000000E-01	6.1347500E-07	-4.7888310E-01
2.4400072E+02	-6.2067000E-07	-4.0000000E-01	5.7213200E-07	-4.8201250E-01
2.4600077E+02	-5.9081600E-07	-4.0000000E-01	5.4259600E-07	-4.8475480E-01
2.4800035E+02	-5.6415400E-07	-4.0000000E-01	5.1600300E-07	-4.8722550E-01
2.5000034E+02	-5.4137200E-07	-4.0000000E-01	4.9236700E-07	-4.8950910E-01
2.5200048E+02	-5.1966100E-07	-4.0000000E-01	4.7141000E-07	-4.9164210E-01
2.5400087E+02	-5.0078300E-07	-4.0000000E-01	4.5218000E-07	-4.9366110E-01
2.5600065E+02	-4.8432900E-07	-4.0000000E-01	4.3473800E-07	-4.9558360E-01
2.5800060E+02	-4.6839700E-07	-4.0000000E-01	4.1855700E-07	-4.9742380E-01
2.6000098E+02	-4.5439500E-07	-4.0000000E-01	4.0311100E-07	-4.9919000E-01
2.6200024E+02	-4.3936500E-07	-4.0000000E-01	3.8902400E-07	-5.0089090E-01
2.6400064E+02	-4.2751400E-07	-4.0000000E-01	3.7702600E-07	-5.0253020E-01
2.6600064E+02	-4.1519500E-07	-4.0000000E-01	3.6339600E-07	-5.0411220E-01
2.6800078E+02	-4.0255000E-07	-4.0000000E-01	3.5181400E-07	-5.0564580E-01
2.7000030E+02	-8.9806700E-07	-4.5000000E-01	8.9346500E-07	-5.1291830E-01
2.7200072E+02	-7.1929000E-07	-4.5000000E-01	6.6782800E-07	-5.2002980E-01
2.7400102E+02	-6.7198100E-07	-4.5000000E-01	6.2144100E-07	-5.2363050E-01
2.7600018E+02	-6.3783100E-07	-4.5000000E-01	5.8593400E-07	-5.2673320E-01
2.7800026E+02	-6.0817500E-07	-4.5000000E-01	5.5507800E-07	-5.2951590E-01
2.8000031E+02	-5.8233000E-07	-4.5000000E-01	5.2988400E-07	-5.3206160E-01
2.8200047E+02	-5.5948600E-07	-4.5000000E-01	5.0583700E-07	-5.3445110E-01
2.8400028E+02	-5.3862000E-07	-4.5000000E-01	4.8393600E-07	-5.3669420E-01
2.8600017E+02	-5.1831300E-07	-4.5000000E-01	4.6528600E-07	-5.3882220E-01
2.8800079E+02	-5.0068100E-07	-4.5000000E-01	4.4667000E-07	-5.4085340E-01
2.9000102E+02	-4.8352900E-07	-4.5000000E-01	4.2929500E-07	-5.4279080E-01
2.9200097E+02	-4.6829300E-07	-4.5000000E-01	4.1514200E-07	-5.4464260E-01
2.9400058E+02	-4.5476600E-07	-4.5000000E-01	3.9910200E-07	-5.4643130E-01
2.9600036E+02	-4.4021000E-07	-4.5000000E-01	3.8597600E-07	-5.4815510E-01
2.9800109E+02	-4.2833900E-07	-4.5000000E-01	3.7264800E-07	-5.4980960E-01
3.0000105E+02	-9.6883500E-07	-5.0000000E-01	9.3382400E-07	-5.5541990E-01
3.0200073E+02	-7.5265700E-07	-5.0000000E-01	6.9839700E-07	-5.6407640E-01
3.0400095E+02	-7.0404600E-07	-5.0000000E-01	6.4754400E-07	-5.6791870E-01
3.0600090E+02	-6.6764700E-07	-5.0000000E-01	6.1075500E-07	-5.7121630E-01
3.0800012E+02	-6.3503400E-07	-5.0000000E-01	5.7899800E-07	-5.7415800E-01
3.1000090E+02	-6.0787600E-07	-5.0000000E-01	5.5007400E-07	-5.7688290E-01
3.1200035E+02	-5.8283400E-07	-5.0000000E-01	5.2502900E-07	-5.7940120E-01
3.1400027E+02	-5.6084700E-07	-5.0000000E-01	5.0207600E-07	-5.8177230E-01
3.1600044E+02	-5.3957200E-07	-5.0000000E-01	4.8106600E-07	-5.8401710E-01
3.1800052E+02	-5.2068800E-07	-5.0000000E-01	4.6307300E-07	-5.8614230E-01
3.2000028E+02	-5.0377600E-07	-5.0000000E-01	4.4507900E-07	-5.8817260E-01
3.2200042E+02	-4.8762700E-07	-5.0000000E-01	4.2821300E-07	-5.9010630E-01
3.2400026E+02	-4.7236000E-07	-5.0000000E-01	4.1318100E-07	-5.9195800E-01
3.2600003E+02	-4.5902900E-07	-5.0000000E-01	3.9945400E-07	-5.9375200E-01
3.2800006E+02	-4.4509400E-07	-5.0000000E-01	3.8562600E-07	-5.9545890E-01
3.3000014E+02	-9.8481700E-07	-5.5000000E-01	9.6544200E-07	-5.9964470E-01
3.3200020E+02	-7.7631900E-07	-5.5000000E-01	7.1721100E-07	-6.0948320E-01
3.3400052E+02	-7.2553600E-07	-5.5000000E-01	6.6521600E-07	-6.1342660E-01
3.3600053E+02	-6.8663900E-07	-5.5000000E-01	6.2567000E-07	-6.1681350E-01
3.3800025E+02	-6.5550400E-07	-5.5000000E-01	5.9283300E-07	-6.1983760E-01
3.4000062E+02	-6.2724100E-07	-5.5000000E-01	5.6539100E-07	-6.2262140E-01
3.4200054E+02	-6.0132800E-07	-5.5000000E-01	5.4008600E-07	-6.2520220E-01
3.4400022E+02	-5.7852400E-07	-5.5000000E-01	5.1493000E-07	-6.2762210E-01
3.4600026E+02	-5.5706400E-07	-5.5000000E-01	4.9469900E-07	-6.2990310E-01
3.4800018E+02	-5.3914700E-07	-5.5000000E-01	4.7605500E-07	-6.3205700E-01
3.5000010E+02	-5.2090400E-07	-5.5000000E-01	4.5668500E-07	-6.3410650E-01
3.5200055E+02	-5.0414500E-07	-5.5000000E-01	4.4126700E-07	-6.3605960E-01
3.5400044E+02	-4.8871400E-07	-5.5000000E-01	4.2525800E-07	-6.3791470E-01
3.5600045E+02	-4.7566500E-07	-5.5000000E-01	4.0972700E-07	-6.3969620E-01
3.5800030E+02	-4.6200300E-07	-5.5000000E-01	3.9730500E-07	-6.4139500E-01
3.6000013E+02	-1.0167700E-06	-6.0000000E-01	9.9493200E-07	-6.4429010E-01
3.6200026E+02	-8.0242500E-07	-6.0000000E-01	7.3920500E-07	-6.5506680E-01
3.6400053E+02	-7.5129300E-07	-6.0000000E-01	6.8625900E-07	-6.5902420E-01
3.6600064E+02	-7.1185400E-07	-6.0000000E-01	6.4644900E-07	-6.6241690E-01
3.6800009E+02	-6.7968300E-07	-6.0000000E-01	6.1381700E-07	-6.6543980E-01
3.7000025E+02	-6.5097700E-07	-6.0000000E-01	5.8504100E-07	-6.6819590E-01
3.7200035E+02	-6.2545900E-07	-6.0000000E-01	5.5828800E-07	-6.7076100E-01
3.7400046E+02	-6.0261600E-07	-6.0000000E-01	5.3516400E-07	-6.7313710E-01
3.7600032E+02	-5.8186900E-07	-6.0000000E-01	5.1497300E-07	-6.7537450E-01
3.7800035E+02	-5.6215800E-07	-6.0000000E-01	4.9508800E-07	-6.7747320E-01
3.8000015E+02	-5.4512800E-07	-6.0000000E-01	4.7639000E-07	-6.7946140E-01
3.8200049E+02	-5.2738700E-07	-6.0000000E-01	4.6081100E-07	-6.8134390E-01
3.8400011E+02	-5.1448100E-07	-6.0000000E-01	4.4465300E-07	-6.8313460E-01
3.8600053E+02	-4.9908000E-07	-6.0000000E-01	4.3166800E-07	-6.8483400E-01
3.8800019E+02	-4.8673300E-07	-6.0000000E-01	4.1864300E-07	-6.8645410E-01
3.9000011E+02	-1.0474600E-06	-6.5000000E-01	1.0160000E-06	-6.8800210E-01
3.9200048E+02	-8.4220900E-07	-6.5000000E-01	7.7444500E-07	-6.9970660E-01
3.9400004E+02	-7.9240100E-07	-6.5000000E-01	7.2117500E-07	-7.0361820E-01
3.9600008E+02	-7.5260200E-07	-6.5000000E-01	6.8161100E-07	-7.0694890E-01
3.9800029E+02	-7.1897800E-07	-6.5000000E-01	6.4913400E-07	-7.0989830E-01
4.0000018E+02	-6.9153300E-07	-6.5000000E-01	6.1902300E-07	-7.1257320E-01
4.0200087E+02	-6.6456400E-07	-6.5000000E-01	5.9430900E-07	-7.1502740E-01
4.0400010E+02	-6.4276700E-07	-6.5000000E-01	5.7174000E-07	-7.1730040E-01
4.0600025E+02	-6.2247200E-07	-6.5000000E-01	5.5050300E-07	-7.1941560E-01
4.0800015E+02	-6.0299600E-07	-6.5000000E-01	5.3110900E-07	-7.2139800E-01
4.1000002E+02	-5.8510300E-07	-6.5000000E-01	5.1411000E-07	-7.2325340E-01
4.1200028E+02	-5.7073100E-07	-6.5000000E-01	4.9690400E-07	-7.2500790E-01
4.1400044E+02	-5.5542200E-07	-6.5000000E-01	4.8237400E-07	-7.2665130E-01
4.1600041E+02	-5.4228000E-07	-6.5000000E-01	4.6779300E-07	-7.2820960E-01
4.1800016E+02	-5.2826700E-07	-6.5000000E-01	4.5529700E-07	-7.2968350E-01
4.2000017E+02	-1.1205200E-06	-7.0000000E-01	1.0888500E-06	-7.3108210E-01
4.2200018E+02	-9.1203200E-07	-7.0000000E-01	8.4023100E-07	-7.4255600E-01
4.2400035E+02	-8.5932900E-07	-7.0000000E-01	7.8371500E-07	-7.4639040E-01
