Time	GateI	GateV	DrainI	Vref
3.7908554E-04	-1.1368410E-12	0.0000000E+00	4.8136770E-12	-1.8280270E-04
2.0018370E+00	-7.1944460E-13	0.0000000E+00	1.5933680E-12	-9.4001020E-05
4.0022781E+00	-1.0075050E-12	0.0000000E+00	4.3578270E-12	-1.6772250E-04
6.0024130E+00	-2.3713810E-12	0.0000000E+00	3.5454840E-12	-1.3887540E-04
8.0019581E+00	-1.6482890E-12	0.0000000E+00	4.4513330E-12	-1.5845910E-04
1.0000921E+01	2.5491550E-12	0.0000000E+00	2.9259720E-12	-4.9718190E-05
1.2002278E+01	1.5380110E-12	0.0000000E+00	5.5792580E-12	-3.4135450E-05
1.4001000E+01	2.0847350E-12	0.0000000E+00	4.5331480E-12	1.8567080E-04
